"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp_var_rate","cons_price_idx","cons_conf_idx","euribor3m","nr_employed","subscribed"
56,"housemaid","married","basic.4y","no","no","no","telephone","may","mon",261,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
41,"blue-collar","married","unknown","unknown","no","no","telephone","may","mon",217,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
24,"technician","single","professional.course","no","yes","no","telephone","may","mon",380,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
54,"retired","married","basic.9y","unknown","yes","yes","telephone","may","mon",174,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
50,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","mon",353,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"technician","married","unknown","no","yes","no","telephone","may","mon",386,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
57,"admin.","married","university.degree","no","no","yes","telephone","may","mon",212,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
44,"admin.","married","university.degree","unknown","yes","no","telephone","may","mon",188,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
33,"admin.","married","unknown","no","yes","no","telephone","may","mon",273,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
55,"technician","married","university.degree","no","no","no","telephone","may","mon",349,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
41,"management","married","basic.6y","no","no","no","telephone","may","mon",529,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
49,"technician","married","basic.9y","no","no","no","telephone","may","mon",1467,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
60,"retired","divorced","university.degree","unknown","no","no","telephone","may","mon",514,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,"entrepreneur","married","unknown","unknown","yes","no","telephone","may","mon",46,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"blue-collar","married","unknown","no","yes","yes","telephone","may","mon",155,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
51,"blue-collar","married","unknown","unknown","yes","no","telephone","may","mon",71,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
51,"blue-collar","married","unknown","unknown","no","no","telephone","may","mon",243,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"services","married","high.school","no","no","no","telephone","may","mon",579,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,"admin.","divorced","unknown","unknown","no","no","telephone","may","mon",114,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,"management","married","basic.9y","no","no","no","telephone","may","mon",128,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
42,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","mon",673,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
42,"technician","married","university.degree","no","no","no","telephone","may","mon",228,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
48,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon",717,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"admin.","married","basic.9y","unknown","yes","no","telephone","may","mon",683,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
35,"student","single","university.degree","unknown","no","no","telephone","may","mon",218,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
35,"student","single","university.degree","unknown","yes","yes","telephone","may","mon",217,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"blue-collar","single","unknown","no","yes","yes","telephone","may","mon",408,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"technician","married","basic.9y","no","no","no","telephone","may","mon",168,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
45,"blue-collar","married","basic.4y","no","yes","yes","telephone","may","mon",177,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
50,"services","divorced","professional.course","no","yes","no","telephone","may","mon",165,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
44,"admin.","married","professional.course","no","yes","no","telephone","may","mon",300,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,"blue-collar","married","basic.4y","no","no","no","telephone","may","mon",136,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
57,"retired","married","high.school","no","no","no","telephone","may","mon",238,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"technician","married","university.degree","unknown","no","no","telephone","may","mon",40,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
27,"blue-collar","single","basic.6y","no","unknown","unknown","telephone","may","mon",119,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"admin.","divorced","basic.9y","no","no","no","telephone","may","mon",73,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"self-employed","single","university.degree","no","yes","no","telephone","may","mon",150,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
42,"blue-collar","divorced","basic.9y","no","yes","no","telephone","may","mon",189,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
42,"technician","single","unknown","no","no","no","telephone","may","mon",230,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
33,"admin.","married","high.school","no","no","no","telephone","may","mon",316,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
35,"management","married","high.school","no","yes","no","telephone","may","mon",174,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"services","married","high.school","no","no","no","telephone","may","tue",202,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"student","single","unknown","unknown","no","no","telephone","may","tue",133,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"retired","unknown","university.degree","unknown","no","no","telephone","may","tue",253,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,"admin.","married","high.school","no","yes","no","telephone","may","tue",203,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
42,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","tue",326,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
38,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue",118,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
47,"blue-collar","married","unknown","unknown","no","no","telephone","may","tue",136,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
57,"technician","married","basic.4y","unknown","no","no","telephone","may","tue",238,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"management","married","professional.course","no","yes","no","telephone","may","tue",310,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
57,"retired","married","university.degree","no","no","no","telephone","may","tue",116,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
36,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue",46,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"entrepreneur","married","high.school","no","no","no","telephone","may","tue",166,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
52,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",371,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
33,"blue-collar","single","basic.4y","unknown","no","no","telephone","may","tue",26,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"admin.","married","professional.course","no","yes","yes","telephone","may","tue",161,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,"admin.","single","university.degree","no","no","no","telephone","may","tue",424,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","may","tue",427,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
49,"blue-collar","married","high.school","unknown","no","no","telephone","may","tue",69,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
41,"management","married","university.degree","unknown","no","no","telephone","may","tue",174,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
32,"admin.","married","university.degree","no","no","no","telephone","may","tue",135,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,"management","married","university.degree","no","no","no","telephone","may","tue",407,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,"services","married","high.school","unknown","no","no","telephone","may","tue",218,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"blue-collar","single","unknown","no","yes","yes","telephone","may","tue",201,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
46,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",145,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
55,"management","married","university.degree","unknown","yes","no","telephone","may","tue",416,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
35,"admin.","married","university.degree","no","unknown","unknown","telephone","may","tue",308,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,"management","divorced","university.degree","unknown","yes","no","telephone","may","tue",378,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
27,"admin.","single","high.school","no","yes","no","telephone","may","tue",390,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
51,"self-employed","married","basic.9y","no","yes","no","telephone","may","tue",144,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,"retired","married","high.school","no","no","no","telephone","may","tue",176,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",800,4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
59,"management","married","basic.4y","unknown","yes","no","telephone","may","tue",88,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
30,"services","married","university.degree","no","yes","no","telephone","may","wed",51,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"student","single","high.school","unknown","no","no","telephone","may","wed",216,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
35,"blue-collar","single","basic.6y","no","yes","no","telephone","may","wed",198,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
50,"self-employed","married","university.degree","no","no","no","telephone","may","wed",312,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
58,"admin.","married","basic.4y","unknown","no","yes","telephone","may","wed",120,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
50,"technician","married","professional.course","no","yes","no","telephone","may","wed",333,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
39,"blue-collar","divorced","basic.9y","no","no","no","telephone","may","wed",143,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
45,"blue-collar","married","basic.9y","unknown","yes","yes","telephone","may","wed",207,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
51,"admin.","married","high.school","unknown","yes","no","telephone","may","wed",359,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
33,"blue-collar","married","high.school","no","yes","no","telephone","may","wed",233,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
28,"unknown","single","basic.9y","unknown","yes","no","telephone","may","wed",99,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
47,"retired","married","basic.4y","unknown","yes","no","telephone","may","wed",47,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
54,"admin.","married","university.degree","no","no","no","telephone","may","wed",388,7,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"admin.","single","university.degree","no","no","no","telephone","may","wed",25,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
32,"management","married","basic.6y","no","no","no","telephone","may","wed",150,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
59,"services","divorced","high.school","no","no","no","telephone","may","wed",231,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
42,"blue-collar","divorced","basic.6y","unknown","yes","no","telephone","may","wed",107,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
35,"admin.","single","high.school","no","no","no","telephone","may","wed",799,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
31,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","wed",121,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
35,"admin.","married","high.school","no","yes","no","telephone","may","wed",157,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
52,"technician","married","high.school","no","yes","no","telephone","may","wed",530,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
44,"blue-collar","married","basic.4y","no","yes","no","telephone","may","wed",171,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
33,"admin.","married","university.degree","no","no","no","telephone","may","wed",55,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
47,"admin.","married","university.degree","no","unknown","unknown","telephone","may","wed",106,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
35,"admin.","single","basic.4y","unknown","no","no","telephone","may","wed",331,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
43,"technician","married","professional.course","no","no","no","telephone","may","wed",96,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
58,"admin.","married","high.school","no","no","yes","telephone","may","wed",152,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
28,"admin.","married","high.school","no","yes","no","telephone","may","wed",175,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
44,"management","married","university.degree","no","no","no","telephone","may","wed",51,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
42,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","wed",332,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
48,"management","married","university.degree","no","yes","no","telephone","may","wed",353,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
39,"blue-collar","married","basic.6y","no","no","no","telephone","may","wed",108,6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
52,"housemaid","divorced","professional.course","no","yes","no","telephone","may","wed",222,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"services","married","unknown","no","yes","no","telephone","may","wed",274,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
26,"admin.","single","university.degree","no","yes","no","telephone","may","wed",217,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
49,"technician","married","professional.course","unknown","unknown","unknown","telephone","may","wed",865,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
54,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",505,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
56,"retired","married","basic.9y","no","yes","yes","telephone","may","wed",71,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
50,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","thu",77,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
39,"admin.","single","unknown","no","no","no","telephone","may","thu",211,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
42,"retired","married","basic.9y","unknown","yes","no","telephone","may","thu",180,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
48,"blue-collar","married","professional.course","no","yes","no","telephone","may","thu",194,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
49,"housemaid","married","basic.4y","unknown","no","no","telephone","may","thu",41,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
35,"services","married","high.school","no","no","no","telephone","may","thu",194,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
55,"admin.","married","high.school","no","no","no","telephone","may","thu",294,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
32,"student","single","university.degree","no","yes","no","telephone","may","thu",147,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
32,"technician","married","university.degree","no","no","yes","telephone","may","thu",141,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
43,"blue-collar","married","basic.4y","unknown","yes","yes","telephone","may","thu",255,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
48,"technician","married","professional.course","unknown","yes","no","telephone","may","thu",306,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
57,"retired","married","high.school","unknown","yes","no","telephone","may","thu",278,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
27,"housemaid","married","basic.9y","no","yes","no","telephone","may","thu",160,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
35,"blue-collar","married","basic.9y","no","yes","no","telephone","may","thu",74,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
35,"services","married","professional.course","unknown","yes","no","telephone","may","thu",156,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
31,"blue-collar","divorced","professional.course","no","yes","no","telephone","may","thu",176,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
48,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","thu",172,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
49,"technician","married","professional.course","no","no","no","telephone","may","thu",63,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
30,"services","divorced","high.school","no","no","no","telephone","may","thu",366,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
39,"unemployed","married","university.degree","no","yes","no","telephone","may","thu",168,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
37,"blue-collar","married","professional.course","no","no","no","telephone","may","thu",195,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
54,"entrepreneur","married","basic.4y","unknown","no","yes","telephone","may","thu",108,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
28,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","thu",347,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
39,"services","single","high.school","unknown","no","no","telephone","may","thu",302,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
32,"admin.","married","university.degree","unknown","no","yes","telephone","may","thu",190,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
43,"unemployed","married","basic.4y","no","no","no","telephone","may","thu",92,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
31,"services","married","basic.6y","no","no","no","telephone","may","thu",2087,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"yes"
37,"blue-collar","married","basic.4y","no","no","no","telephone","may","thu",219,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
28,"admin.","single","basic.9y","no","yes","yes","telephone","may","thu",376,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
44,"self-employed","married","professional.course","no","no","no","telephone","may","thu",626,6,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
53,"management","married","university.degree","no","yes","no","telephone","may","thu",209,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
31,"admin.","married","high.school","no","yes","yes","telephone","may","thu",151,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
34,"blue-collar","married","basic.6y","unknown","no","yes","telephone","may","thu",159,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
38,"admin.","single","university.degree","no","no","no","telephone","may","thu",335,9,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
44,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","thu",122,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
36,"services","married","high.school","no","yes","no","telephone","may","thu",84,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
48,"technician","married","professional.course","no","yes","no","telephone","may","thu",220,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
34,"management","divorced","basic.6y","unknown","yes","no","telephone","may","thu",271,5,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
27,"technician","single","high.school","no","yes","no","telephone","may","thu",43,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
48,"admin.","married","professional.course","unknown","yes","no","telephone","may","fri",211,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
51,"blue-collar","married","high.school","no","no","no","telephone","may","fri",147,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
58,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","fri",70,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
33,"technician","divorced","professional.course","no","yes","no","telephone","may","fri",44,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
56,"admin.","single","high.school","no","no","no","telephone","may","fri",93,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
29,"management","single","university.degree","no","yes","no","telephone","may","fri",123,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
52,"management","married","professional.course","no","no","no","telephone","may","fri",393,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
39,"management","single","university.degree","no","no","no","telephone","may","fri",164,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
56,"services","married","high.school","unknown","no","no","telephone","may","fri",331,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
46,"services","married","professional.course","no","no","no","telephone","may","fri",115,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
51,"blue-collar","married","basic.9y","no","no","yes","telephone","may","fri",653,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"yes"
38,"technician","married","professional.course","no","yes","no","telephone","may","fri",46,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
34,"management","married","university.degree","no","yes","no","telephone","may","fri",197,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
28,"blue-collar","single","basic.6y","no","no","no","telephone","may","fri",557,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
36,"technician","married","professional.course","no","yes","no","telephone","may","fri",84,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
34,"admin.","married","high.school","no","yes","yes","telephone","may","fri",20,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
25,"blue-collar","single","basic.4y","no","yes","no","telephone","may","fri",247,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
30,"technician","married","university.degree","no","no","no","telephone","may","fri",282,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
41,"technician","married","university.degree","no","yes","no","telephone","may","fri",67,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
29,"management","single","university.degree","no","no","no","telephone","may","fri",118,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
30,"blue-collar","single","basic.9y","no","yes","no","telephone","may","fri",128,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
60,"management","married","university.degree","unknown","no","no","telephone","may","fri",409,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
45,"blue-collar","married","basic.4y","unknown","yes","yes","telephone","may","fri",325,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
37,"services","married","high.school","no","yes","no","telephone","may","fri",153,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
56,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","fri",116,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
46,"blue-collar","married","professional.course","no","yes","no","telephone","may","fri",106,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
38,"blue-collar","divorced","basic.9y","no","no","yes","telephone","may","fri",70,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
58,"entrepreneur","married","university.degree","unknown","no","no","telephone","may","fri",107,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
38,"management","married","university.degree","no","no","no","telephone","may","fri",32,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
42,"admin.","married","university.degree","no","no","no","telephone","may","fri",126,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
50,"housemaid","divorced","high.school","no","no","no","telephone","may","fri",177,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
50,"services","married","professional.course","unknown","yes","no","telephone","may","fri",211,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
44,"technician","single","professional.course","no","no","no","telephone","may","fri",182,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
48,"admin.","married","basic.9y","no","no","yes","telephone","may","fri",145,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
51,"entrepreneur","married","basic.4y","unknown","no","no","telephone","may","fri",277,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
24,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","fri",101,6,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
28,"services","single","high.school","no","unknown","unknown","telephone","may","fri",71,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
