id,zip,Geographic Area Name,Households_Total,Households_Median,Households_Mean,families_mean,Married-couple_mean,Nonfamily_mean
8600000US00601,00601,ZCTA5 00601,5780,12041,21234,24298,N,10152
8600000US00602,00602,ZCTA5 00602,13133,15663,23849,26602,N,13280
8600000US00603,00603,ZCTA5 00603,17594,15485,25268,28811,36121,14737
8600000US00606,00606,ZCTA5 00606,1820,15019,18051,19803,N,10935
8600000US00610,00610,ZCTA5 00610,9455,16707,22255,24296,N,14936
8600000US00612,00612,ZCTA5 00612,23646,17848,27394,30760,41464,14441
8600000US00616,00616,ZCTA5 00616,3515,15342,22937,27035,N,9936
8600000US00617,00617,ZCTA5 00617,8217,14982,21956,23121,N,14781
8600000US00622,00622,ZCTA5 00622,2055,14281,23013,29943,N,12020
8600000US00623,00623,ZCTA5 00623,13763,17389,26581,28483,N,20813
8600000US00624,00624,ZCTA5 00624,7986,14768,20192,21650,26397,12634
8600000US00627,00627,ZCTA5 00627,11321,19527,26196,28566,N,14848
8600000US00631,00631,ZCTA5 00631,573,11596,16620,21807,N,6176
8600000US00637,00637,ZCTA5 00637,7163,16430,23372,26108,N,11752
8600000US00638,00638,ZCTA5 00638,5734,13860,18630,20670,N,10944
8600000US00641,00641,ZCTA5 00641,9658,14924,21467,23970,29403,12172
8600000US00646,00646,ZCTA5 00646,12124,28306,42986,47688,N,24889
8600000US00647,00647,ZCTA5 00647,1759,13925,19208,22215,N,11206
8600000US00650,00650,ZCTA5 00650,4696,16133,20555,22227,N,12806
8600000US00652,00652,ZCTA5 00652,1308,12809,22611,27577,N,10327
8600000US00653,00653,ZCTA5 00653,3894,12595,19213,21057,N,11985
8600000US00656,00656,ZCTA5 00656,6608,15054,21786,23969,N,11920
8600000US00659,00659,ZCTA5 00659,13708,19199,26806,29116,33861,16771
8600000US00660,00660,ZCTA5 00660,6457,21107,26682,30025,N,16193
8600000US00662,00662,ZCTA5 00662,14814,15600,21909,23719,N,14760
8600000US00664,00664,ZCTA5 00664,4703,19342,24026,26628,N,8870
8600000US00667,00667,ZCTA5 00667,8249,14081,19152,20803,N,13591
8600000US00669,00669,ZCTA5 00669,9751,11790,17779,19758,21966,9914
8600000US00670,00670,ZCTA5 00670,3216,15817,19471,22046,N,9158
8600000US00674,00674,ZCTA5 00674,15828,18048,25820,29290,N,15260
8600000US00676,00676,ZCTA5 00676,11703,14697,22233,25454,N,11055
8600000US00677,00677,ZCTA5 00677,5655,15875,22482,24994,N,15844
8600000US00678,00678,ZCTA5 00678,9261,14877,20772,22864,27658,12053
8600000US00680,00680,ZCTA5 00680,20038,15115,22291,26597,35351,12604
8600000US00682,00682,ZCTA5 00682,11262,15067,29362,38811,N,11835
8600000US00683,00683,ZCTA5 00683,11540,15587,24120,28686,N,13821
8600000US00685,00685,ZCTA5 00685,12971,14623,19890,22398,N,10893
8600000US00687,00687,ZCTA5 00687,9360,14797,21477,23164,N,13219
8600000US00688,00688,ZCTA5 00688,4085,14148,19208,20559,N,12144
8600000US00690,00690,ZCTA5 00690,1971,19474,26210,27896,N,16667
8600000US00692,00692,ZCTA5 00692,11057,18500,28332,29213,N,23058
8600000US00693,00693,ZCTA5 00693,17812,16406,26073,29014,N,14744
8600000US00694,00694,ZCTA5 00694,85,10750,13647,7654,N,17842
8600000US00698,00698,ZCTA5 00698,11451,15099,22148,25216,N,11236
8600000US00703,00703,ZCTA5 00703,9000,14673,22754,22553,N,9672
8600000US00704,00704,ZCTA5 00704,2877,12612,19060,21633,N,9634
8600000US00705,00705,ZCTA5 00705,8746,15892,24139,26355,N,15599
8600000US00707,00707,ZCTA5 00707,4133,18446,22926,25113,N,15156
8600000US00714,00714,ZCTA5 00714,6300,16350,23214,25843,N,14846
8600000US00715,00715,ZCTA5 00715,1380,14114,27024,31521,N,12530
8600000US00716,00716,ZCTA5 00716,11743,18878,30572,34458,N,18887
8600000US00717,00717,ZCTA5 00717,7107,12407,21513,26522,N,14079
8600000US00718,00718,ZCTA5 00718,8477,17123,25586,28987,N,14206
8600000US00719,00719,ZCTA5 00719,8386,16672,26260,29085,31286,10497
8600000US00720,00720,ZCTA5 00720,6761,14903,19250,20971,N,11386
8600000US00723,00723,ZCTA5 00723,6398,14506,21148,24933,N,13025
8600000US00725,00725,ZCTA5 00725,31093,20926,30684,34121,44363,17983
8600000US00727,00727,ZCTA5 00727,19702,29433,41441,45464,N,25261
8600000US00728,00728,ZCTA5 00728,13529,18637,26374,28598,36195,15410
8600000US00729,00729,ZCTA5 00729,16509,22438,31772,34439,N,19246
8600000US00730,00730,ZCTA5 00730,13106,16259,26463,30952,N,13912
8600000US00731,00731,ZCTA5 00731,4694,15733,23449,25710,N,13458
8600000US00735,00735,ZCTA5 00735,4557,19615,25670,28481,N,16910
8600000US00736,00736,ZCTA5 00736,17406,21206,32465,36911,46823,18159
8600000US00738,00738,ZCTA5 00738,12327,22140,28535,30952,N,18687
8600000US00739,00739,ZCTA5 00739,12104,24638,33810,35689,45528,19652
8600000US00740,00740,ZCTA5 00740,590,11026,19066,20368,N,14918
8600000US00741,00741,ZCTA5 00741,1634,18397,25301,25319,N,23226
8600000US00745,00745,ZCTA5 00745,17051,23275,30586,33146,N,17594
8600000US00751,00751,ZCTA5 00751,8231,13565,21047,23092,N,13552
8600000US00754,00754,ZCTA5 00754,13155,17904,27908,30428,35410,16012
8600000US00757,00757,ZCTA5 00757,7818,18033,26535,28694,N,16441
8600000US00765,00765,ZCTA5 00765,2748,17500,22198,24143,N,15857
8600000US00766,00766,ZCTA5 00766,7965,16517,23968,26061,N,12851
8600000US00767,00767,ZCTA5 00767,11929,17306,22984,24619,N,14694
8600000US00769,00769,ZCTA5 00769,13289,17710,24990,26669,33597,18077
8600000US00771,00771,ZCTA5 00771,11810,18553,26515,28721,N,16018
8600000US00772,00772,ZCTA5 00772,6784,16432,21559,23892,N,12514
8600000US00773,00773,ZCTA5 00773,6862,18593,28080,30676,N,19722
8600000US00775,00775,ZCTA5 00775,460,16188,21268,25646,N,12580
8600000US00777,00777,ZCTA5 00777,12779,18574,26733,29916,N,14727
8600000US00778,00778,ZCTA5 00778,14178,27475,41111,45229,N,25997
8600000US00780,00780,ZCTA5 00780,4276,21706,40407,46229,N,17612
8600000US00782,00782,ZCTA5 00782,5698,12527,20050,22795,N,9657
8600000US00783,00783,ZCTA5 00783,10780,16201,23535,26097,N,11462
8600000US00784,00784,ZCTA5 00784,14613,17540,25193,27294,34443,17393
8600000US00786,00786,ZCTA5 00786,142,22656,26967,34341,N,16890
8600000US00791,00791,ZCTA5 00791,17086,20364,30984,33644,N,19975
8600000US00794,00794,ZCTA5 00794,9145,14986,21541,22185,N,12942
8600000US00795,00795,ZCTA5 00795,15631,17278,23866,26424,33947,12919
8600000US00901,00901,ZCTA5 00901,2651,13620,46873,72984,N,26088
8600000US00906,00906,ZCTA5 00906,22,-,N,N,N,N
8600000US00907,00907,ZCTA5 00907,8475,32570,65626,84479,N,47058
8600000US00909,00909,ZCTA5 00909,2591,16891,25017,25927,N,22939
8600000US00911,00911,ZCTA5 00911,3816,26611,48406,61001,N,38207
8600000US00912,00912,ZCTA5 00912,2465,18960,29741,29852,N,27348
8600000US00913,00913,ZCTA5 00913,3350,6926,25068,28138,N,19117
8600000US00915,00915,ZCTA5 00915,11905,13150,17503,19958,29020,12247
8600000US00917,00917,ZCTA5 00917,8381,16802,27228,32574,N,19527
8600000US00918,00918,ZCTA5 00918,7675,26573,46675,62879,N,31660
8600000US00920,00920,ZCTA5 00920,7299,25463,34821,40373,N,24627
8600000US00921,00921,ZCTA5 00921,14042,18417,28339,31330,N,20663
8600000US00923,00923,ZCTA5 00923,10926,15959,25691,29532,N,18626
8600000US00924,00924,ZCTA5 00924,20130,19510,28424,31345,47408,20186
8600000US00925,00925,ZCTA5 00925,2891,12847,21134,26421,N,16990
8600000US00926,00926,ZCTA5 00926,38467,35308,55574,61636,78753,37440
8600000US00927,00927,ZCTA5 00927,6120,34572,67642,87620,N,32900
8600000US00934,00934,ZCTA5 00934,79,82721,70797,66003,N,N
8600000US00936,00936,ZCTA5 00936,0,-,-,-,-,-
8600000US00949,00949,ZCTA5 00949,27667,25514,33616,36816,45652,20808
8600000US00950,00950,ZCTA5 00950,0,-,-,-,-,-
8600000US00951,00951,ZCTA5 00951,16,-,N,-,-,N
8600000US00952,00952,ZCTA5 00952,3278,18768,24353,27313,N,14583
8600000US00953,00953,ZCTA5 00953,21775,28488,39510,41896,51854,21401
8600000US00956,00956,ZCTA5 00956,26376,22212,29471,31910,39015,18579
8600000US00957,00957,ZCTA5 00957,15488,23736,32402,34696,42833,19911
8600000US00959,00959,ZCTA5 00959,18630,26264,35811,40549,48814,23386
8600000US00960,00960,ZCTA5 00960,0,-,-,-,-,-
8600000US00961,00961,ZCTA5 00961,11476,29931,41019,46237,N,24913
8600000US00962,00962,ZCTA5 00962,7396,16128,23256,25564,N,12964
8600000US00965,00965,ZCTA5 00965,3119,16139,19458,20775,N,13804
8600000US00966,00966,ZCTA5 00966,6352,52463,85758,102068,N,50906
8600000US00968,00968,ZCTA5 00968,1835,41936,68650,89779,N,48111
8600000US00969,00969,ZCTA5 00969,15421,50811,70710,80751,N,41658
8600000US00971,00971,ZCTA5 00971,10332,23241,35958,38858,N,24492
8600000US00976,00976,ZCTA5 00976,21293,30372,42008,47214,59818,25673
8600000US00979,00979,ZCTA5 00979,7557,37906,55085,63612,N,44110
8600000US00982,00982,ZCTA5 00982,5953,26148,33473,37801,N,20500
8600000US00983,00983,ZCTA5 00983,14563,27125,37218,41439,N,20355
8600000US00985,00985,ZCTA5 00985,12685,25509,32450,35791,N,18645
8600000US00987,00987,ZCTA5 00987,20077,31546,39347,43065,N,23917
8600000US01001,01001,ZCTA5 01001,7056,58733,67446,78888,N,47033
8600000US01002,01002,ZCTA5 01002,9248,54422,84647,115757,N,50646
8600000US01003,01003,ZCTA5 01003,16,-,N,N,N,N
8600000US01005,01005,ZCTA5 01005,1937,68644,84015,102158,N,41414
8600000US01007,01007,ZCTA5 01007,5798,71875,81401,92888,N,49856
8600000US01008,01008,ZCTA5 01008,455,71635,80258,81985,N,69628
8600000US01009,01009,ZCTA5 01009,305,38644,59965,68987,N,40460
8600000US01010,01010,ZCTA5 01010,1478,81196,87442,106482,N,45670
8600000US01011,01011,ZCTA5 01011,538,64891,69310,79373,N,38541
8600000US01012,01012,ZCTA5 01012,249,58750,68805,76907,N,42921
8600000US01013,01013,ZCTA5 01013,9010,41273,49381,55939,N,36504
8600000US01020,01020,ZCTA5 01020,12720,51255,63103,76706,N,39277
8600000US01022,01022,ZCTA5 01022,1273,58938,64581,79835,N,50323
8600000US01026,01026,ZCTA5 01026,478,52155,72779,74749,N,68602
8600000US01027,01027,ZCTA5 01027,7925,59963,69424,85874,N,43937
8600000US01028,01028,ZCTA5 01028,5798,80469,96224,109576,N,50889
8600000US01029,01029,ZCTA5 01029,271,54330,71707,85860,N,37068
8600000US01030,01030,ZCTA5 01030,4441,71228,80159,92660,N,38998
8600000US01031,01031,ZCTA5 01031,603,42404,67526,78057,N,34820
8600000US01032,01032,ZCTA5 01032,273,61806,69379,89887,N,37071
8600000US01033,01033,ZCTA5 01033,2503,73816,76045,86214,N,50901
8600000US01034,01034,ZCTA5 01034,808,77500,87027,97162,N,47180
8600000US01035,01035,ZCTA5 01035,2084,73250,89142,115631,N,55043
8600000US01036,01036,ZCTA5 01036,1876,81130,95403,106450,N,42262
8600000US01037,01037,ZCTA5 01037,240,84444,105027,112179,N,90986
8600000US01038,01038,ZCTA5 01038,1235,61603,83435,102619,N,45125
8600000US01039,01039,ZCTA5 01039,695,72188,81400,103515,N,46091
8600000US01040,01040,ZCTA5 01040,15846,31628,47753,54808,N,33716
8600000US01050,01050,ZCTA5 01050,994,56184,68248,76487,N,41011
8600000US01053,01053,ZCTA5 01053,595,64896,69899,73978,N,51336
8600000US01054,01054,ZCTA5 01054,752,73000,92183,107332,N,60205
8600000US01056,01056,ZCTA5 01056,8223,61073,77873,91392,N,45985
8600000US01057,01057,ZCTA5 01057,3485,64747,78559,91691,N,54835
8600000US01060,01060,ZCTA5 01060,6471,52607,76042,109234,N,53856
8600000US01062,01062,ZCTA5 01062,4472,65756,95171,110444,N,59808
8600000US01063,01063,ZCTA5 01063,0,-,-,-,-,-
8600000US01066,01066,ZCTA5 01066,0,-,-,-,-,-
8600000US01068,01068,ZCTA5 01068,656,85556,90412,95868,N,59847
8600000US01069,01069,ZCTA5 01069,3446,53417,66463,79551,N,29963
8600000US01070,01070,ZCTA5 01070,256,63889,70838,80233,N,53166
8600000US01071,01071,ZCTA5 01071,559,75363,81154,92233,N,45206
8600000US01072,01072,ZCTA5 01072,629,66705,81847,100659,N,48072
8600000US01073,01073,ZCTA5 01073,2306,80000,88590,96544,N,43238
8600000US01074,01074,ZCTA5 01074,30,-,N,-,-,N
8600000US01075,01075,ZCTA5 01075,7170,61431,75195,93803,N,47570
8600000US01077,01077,ZCTA5 01077,3623,78476,92161,106547,N,49400
8600000US01079,01079,ZCTA5 01079,245,34906,57311,79269,N,40263
8600000US01080,01080,ZCTA5 01080,949,40559,47681,54117,N,38146
8600000US01081,01081,ZCTA5 01081,661,56726,75569,85893,N,42498
8600000US01082,01082,ZCTA5 01082,4569,51717,64154,76073,N,40619
8600000US01083,01083,ZCTA5 01083,1204,39521,57405,68454,N,24132
8600000US01084,01084,ZCTA5 01084,92,51667,69971,81478,N,43586
8600000US01085,01085,ZCTA5 01085,15306,59881,75081,90007,102442,41533
8600000US01086,01086,ZCTA5 01086,0,-,-,-,-,-
8600000US01088,01088,ZCTA5 01088,309,43234,46304,45641,N,46640
8600000US01089,01089,ZCTA5 01089,11703,54126,66007,76533,N,46121
8600000US01092,01092,ZCTA5 01092,510,55370,71760,88530,N,44216
8600000US01093,01093,ZCTA5 01093,120,83750,95593,116974,N,62385
